// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// restore --no-dependencies  /p:UseSharedCompilation=false took 2.45s and exited with 0
// build --framework netcoreapp2.0 --configuration Release --no-restore --no-dependencies  /p:UseSharedCompilation=false took 4.41s and exited with 0
// ***** Done, took 00:00:07 (7.15 sec)   *****
// Found benchmarks:
//   ChipotleCsvBenchmark.Parse2KB: DefaultJob
//   ChipotleCsvBenchmark.Parse4KB: DefaultJob
//   ChipotleCsvBenchmark.Parse8KB: DefaultJob
//   ChipotleCsvBenchmark.Parse16KB: DefaultJob
//   ChipotleCsvBenchmark.Parse32KB: DefaultJob

// **************************
// Benchmark: ChipotleCsvBenchmark.Parse2KB: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// BeforeAnythingElse
// Benchmark Process Environment Information:
// Runtime=.NET Core 2.0.9 (CoreCLR 4.6.26614.01, CoreFX 4.6.26614.01), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob
// Benchmark: ChipotleCsvBenchmark.Parse16KB: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// BeforeAnythingElse
// Benchmark Process Environment Information:
// Runtime=.NET Core 2.0.9 (CoreCLR 4.6.26614.01, CoreFX 4.6.26614.01), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob
OverheadJitting  1: 1 op, 937900.00 ns, 937.9000 us/op
System.Reflection.TargetInvocationException: Exception has been thrown by the target of an invocation. ---> System.EntryPointNotFoundException: Unable to find another line
   at Chipotle.CSV.Csv.<GetNextAsync>d__15.MoveNext() in C:\Users\ryzng\Source\Repos\Chipotle.CSV\src\Csv.cs:line 41
--- End of stack trace from previous location where exception was thrown ---
   at System.Runtime.ExceptionServices.ExceptionDispatchInfo.Throw()
   at System.Runtime.CompilerServices.TaskAwaiter.HandleNonSuccessAndDebuggerNotification(Task task)
   at test.ChipotleCsvBenchmark.<ParseCsvFile>d__9.MoveNext() in C:\Users\ryzng\Source\Repos\Chipotle.CSV\Benchmarks\ChipotleCsvBenchmark.cs:line 77
--- End of stack trace from previous location where exception was thrown ---
   at System.Runtime.ExceptionServices.ExceptionDispatchInfo.Throw()
   at System.Runtime.CompilerServices.TaskAwaiter.HandleNonSuccessAndDebuggerNotification(Task task)
   at test.ChipotleCsvBenchmark.<Parse16KB>d__5.MoveNext() in C:\Users\ryzng\Source\Repos\Chipotle.CSV\Benchmarks\ChipotleCsvBenchmark.cs:line 45
--- End of stack trace from previous location where exception was thrown ---
   at System.Runtime.ExceptionServices.ExceptionDispatchInfo.Throw()
   at System.Runtime.CompilerServices.TaskAwaiter.HandleNonSuccessAndDebuggerNotification(Task task)
   at BenchmarkDotNet.Autogenerated.Runnable_3.<.ctor>b__3_4() in C:\Users\ryzng\Source\Repos\Chipotle.CSV\Benchmarks\bin\release\netcoreapp2.0\fc0c46d6-060f-4fa5-901a-88ede7da3113\fc0c46d6-060f-4fa5-901a-88ede7da3113.notcs:line 2104
   at BenchmarkDotNet.Autogenerated.Runnable_3.WorkloadActionNoUnroll(Int64 invokeCount) in C:\Users\ryzng\Source\Repos\Chipotle.CSV\Benchmarks\bin\release\netcoreapp2.0\fc0c46d6-060f-4fa5-901a-88ede7da3113\fc0c46d6-060f-4fa5-901a-88ede7da3113.notcs:line 2406
   at BenchmarkDotNet.Engines.Engine.RunIteration(IterationData data)
   at BenchmarkDotNet.Engines.EngineFactory.Jit(Engine engine, Int32 jitIndex, Int32 invokeCount, Int32 unrollFactor)
   at BenchmarkDotNet.Engines.EngineFactory.CreateReadyToRun(EngineParameters engineParameters)
   at BenchmarkDotNet.Autogenerated.Runnable_3.Run(IHost host) in C:\Users\ryzng\Source\Repos\Chipotle.CSV\Benchmarks\bin\release\netcoreapp2.0\fc0c46d6-060f-4fa5-901a-88ede7da3113\fc0c46d6-060f-4fa5-901a-88ede7da3113.notcs:line 2083
   --- End of inner exception stack trace ---
   at System.RuntimeMethodHandle.InvokeMethod(Object target, Object[] arguments, Signature sig, Boolean constructor)
   at System.Reflection.RuntimeMethodInfo.UnsafeInvokeInternal(Object obj, Object[] parameters, Object[] arguments)
   at BenchmarkDotNet.Autogenerated.UniqueProgramName.AfterAssemblyLoadingAttached(String[] args) in C:\Users\ryzng\Source\Repos\Chipotle.CSV\Benchmarks\bin\release\netcoreapp2.0\fc0c46d6-060f-4fa5-901a-88ede7da3113\fc0c46d6-060f-4fa5-901a-88ede7da3113.notcs:line 70
// AfterAll
ExitCode != 0
No more Benchmark runs will be launched as NO measurements were obtained from the previous run!


// **************************
// Benchmark: ChipotleCsvBenchmark.Parse32KB: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// BeforeAnythingElse
// Benchmark Process Environment Information:
// Runtime=.NET Core 2.0.9 (CoreCLR 4.6.26614.01, CoreFX 4.6.26614.01), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob
OverheadJitting  1: 1 op, 790400.00 ns, 790.4000 us/op
System.Reflection.TargetInvocationException: Exception has been thrown by the target of an invocation. ---> System.EntryPointNotFoundException: Unable to find another line
   at Chipotle.CSV.Csv.<GetNextAsync>d__15.MoveNext() in C:\Users\ryzng\Source\Repos\Chipotle.CSV\src\Csv.cs:line 41
--- End of stack trace from previous location where exception was thrown ---
   at System.Runtime.ExceptionServices.ExceptionDispatchInfo.Throw()
   at System.Runtime.CompilerServices.TaskAwaiter.HandleNonSuccessAndDebuggerNotification(Task task)
   at test.ChipotleCsvBenchmark.<ParseCsvFile>d__9.MoveNext() in C:\Users\ryzng\Source\Repos\Chipotle.CSV\Benchmarks\ChipotleCsvBenchmark.cs:line 77
--- End of stack trace from previous location where exception was thrown ---
   at System.Runtime.ExceptionServices.ExceptionDispatchInfo.Throw()
   at System.Runtime.CompilerServices.TaskAwaiter.HandleNonSuccessAndDebuggerNotification(Task task)
   at test.ChipotleCsvBenchmark.<Parse32KB>d__6.MoveNext() in C:\Users\ryzng\Source\Repos\Chipotle.CSV\Benchmarks\ChipotleCsvBenchmark.cs:line 51
--- End of stack trace from previous location where exception was thrown ---
   at System.Runtime.ExceptionServices.ExceptionDispatchInfo.Throw()
   at System.Runtime.CompilerServices.TaskAwaiter.HandleNonSuccessAndDebuggerNotification(Task task)
   at BenchmarkDotNet.Autogenerated.Runnable_4.<.ctor>b__3_4() in C:\Users\ryzng\Source\Repos\Chipotle.CSV\Benchmarks\bin\release\netcoreapp2.0\fc0c46d6-060f-4fa5-901a-88ede7da3113\fc0c46d6-060f-4fa5-901a-88ede7da3113.notcs:line 2747
   at BenchmarkDotNet.Autogenerated.Runnable_4.WorkloadActionNoUnroll(Int64 invokeCount) in C:\Users\ryzng\Source\Repos\Chipotle.CSV\Benchmarks\bin\release\netcoreapp2.0\fc0c46d6-060f-4fa5-901a-88ede7da3113\fc0c46d6-060f-4fa5-901a-88ede7da3113.notcs:line 3049
   at BenchmarkDotNet.Engines.Engine.RunIteration(IterationData data)
   at BenchmarkDotNet.Engines.EngineFactory.Jit(Engine engine, Int32 jitIndex, Int32 invokeCount, Int32 unrollFactor)
   at BenchmarkDotNet.Engines.EngineFactory.CreateReadyToRun(EngineParameters engineParameters)
   at BenchmarkDotNet.Autogenerated.Runnable_4.Run(IHost host) in C:\Users\ryzng\Source\Repos\Chipotle.CSV\Benchmarks\bin\release\netcoreapp2.0\fc0c46d6-060f-4fa5-901a-88ede7da3113\fc0c46d6-060f-4fa5-901a-88ede7da3113.notcs:line 2726
   --- End of inner exception stack trace ---
   at System.RuntimeMethodHandle.InvokeMethod(Object target, Object[] arguments, Signature sig, Boolean constructor)
   at System.Reflection.RuntimeMethodInfo.UnsafeInvokeInternal(Object obj, Object[] parameters, Object[] arguments)
   at BenchmarkDotNet.Autogenerated.UniqueProgramName.AfterAssemblyLoadingAttached(String[] args) in C:\Users\ryzng\Source\Repos\Chipotle.CSV\Benchmarks\bin\release\netcoreapp2.0\fc0c46d6-060f-4fa5-901a-88ede7da3113\fc0c46d6-060f-4fa5-901a-88ede7da3113.notcs:line 70
// AfterAll
ExitCode != 0
No more Benchmark runs will be launched as NO measurements were obtained from the previous run!


// ***** BenchmarkRunner: Finish  *****

// * Export *
  BenchmarkDotNet.Artifacts\results\test.ChipotleCsvBenchmark-report.csv
  BenchmarkDotNet.Artifacts\results\test.ChipotleCsvBenchmark-report-github.md
  BenchmarkDotNet.Artifacts\results\test.ChipotleCsvBenchmark-report.html

// * Detailed results *
ChipotleCsvBenchmark.Parse2KB: DefaultJob
Runtime = .NET Core 2.0.9 (CoreCLR 4.6.26614.01, CoreFX 4.6.26614.01), 64bit RyuJIT; GC = Concurrent Workstation
Mean = 96.2225 us, StdErr = 0.5177 us (0.54%); N = 27, StdDev = 2.6898 us
Min = 90.7875 us, Q1 = 94.6171 us, Median = 95.4813 us, Q3 = 98.6070 us, Max = 100.9396 us
IQR = 3.9899 us, LowerFence = 88.6322 us, UpperFence = 104.5919 us
ConfidenceInterval = [94.3037 us; 98.1412 us] (CI 99.9%), Margin = 1.9188 us (1.99% of Mean)
Skewness = 0.04, Kurtosis = 2.03, MValue = 2.62
-------------------- Histogram --------------------
[90.397 us ;  92.691 us) | @@
[92.691 us ;  96.158 us) | @@@@@@@@@@@@@
[96.158 us ;  98.164 us) | @@@@
[98.164 us ; 101.724 us) | @@@@@@@@
---------------------------------------------------

ChipotleCsvBenchmark.Parse4KB: DefaultJob
Runtime = .NET Core 2.0.9 (CoreCLR 4.6.26614.01, CoreFX 4.6.26614.01), 64bit RyuJIT; GC = Concurrent Workstation
Mean = 295.4446 us, StdErr = 1.7345 us (0.59%); N = 31, StdDev = 9.6575 us
Min = 277.9378 us, Q1 = 287.3946 us, Median = 297.7788 us, Q3 = 301.9565 us, Max = 323.7656 us
IQR = 14.5619 us, LowerFence = 265.5518 us, UpperFence = 323.7994 us
ConfidenceInterval = [289.1206 us; 301.7687 us] (CI 99.9%), Margin = 6.3240 us (2.14% of Mean)
Skewness = 0.54, Kurtosis = 3.38, MValue = 2
-------------------- Histogram --------------------
[276.513 us ; 284.518 us) | @@
[284.518 us ; 291.241 us) | @@@@@@@@@@@
[291.241 us ; 302.988 us) | @@@@@@@@@@@@
[302.988 us ; 312.328 us) | @@@@@
[312.328 us ; 326.456 us) | @
---------------------------------------------------

ChipotleCsvBenchmark.Parse8KB: DefaultJob
Runtime = .NET Core 2.0.9 (CoreCLR 4.6.26614.01, CoreFX 4.6.26614.01), 64bit RyuJIT; GC = Concurrent Workstation
Mean = 687.9457 us, StdErr = 3.9498 us (0.57%); N = 56, StdDev = 29.5573 us
Min = 609.8108 us, Q1 = 676.1329 us, Median = 687.6162 us, Q3 = 711.1617 us, Max = 756.7207 us
IQR = 35.0288 us, LowerFence = 623.5898 us, UpperFence = 763.7048 us
ConfidenceInterval = [674.2147 us; 701.6766 us] (CI 99.9%), Margin = 13.7310 us (2.00% of Mean)
Skewness = -0.52, Kurtosis = 3.34, MValue = 2
-------------------- Histogram --------------------
[605.761 us ; 619.281 us) | @@
[619.281 us ; 636.074 us) | @@
[636.074 us ; 655.326 us) | @@@@
[655.326 us ; 674.764 us) | @@@@@@
[674.764 us ; 691.918 us) | @@@@@@@@@@@@@@@@@@@@@@
[691.918 us ; 709.595 us) | @@@@@
[709.595 us ; 738.067 us) | @@@@@@@@@@@@@@
[738.067 us ; 763.481 us) | @
---------------------------------------------------

ChipotleCsvBenchmark.Parse16KB: DefaultJob
Runtime = ; GC = 
There are not any results runs

ChipotleCsvBenchmark.Parse32KB: DefaultJob
Runtime = ; GC = 
There are not any results runs

// * Summary *

BenchmarkDotNet=v0.11.0, OS=Windows 10.0.17134.191 (1803/April2018Update/Redstone4)
Intel Core i7-8650U CPU 1.90GHz (Max: 1.91GHz) (Kaby Lake R), 1 CPU, 8 logical and 4 physical cores
.NET Core SDK=2.1.302
  [Host]     : .NET Core 2.0.9 (CoreCLR 4.6.26614.01, CoreFX 4.6.26614.01), 64bit RyuJIT
  DefaultJob : .NET Core 2.0.9 (CoreCLR 4.6.26614.01, CoreFX 4.6.26614.01), 64bit RyuJIT


    Method |      Mean |     Error |    StdDev |       Min |      Max |    Median |   Gen 0 | Allocated |
---------- |----------:|----------:|----------:|----------:|---------:|----------:|--------:|----------:|
  Parse2KB |  96.22 us |  1.919 us |  2.690 us |  90.79 us | 100.9 us |  95.48 us |  7.8125 |   32872 B |
  Parse4KB | 295.44 us |  6.324 us |  9.657 us | 277.94 us | 323.8 us | 297.78 us | 22.9492 |   96856 B |
  Parse8KB | 687.95 us | 13.731 us | 29.557 us | 609.81 us | 756.7 us | 687.62 us | 55.6641 |  235776 B |
 Parse16KB |        NA |        NA |        NA |        NA |       NA |        NA |     N/A |       N/A |
 Parse32KB |        NA |        NA |        NA |        NA |       NA |        NA |     N/A |       N/A |

Benchmarks with issues:
  ChipotleCsvBenchmark.Parse16KB: DefaultJob
  ChipotleCsvBenchmark.Parse32KB: DefaultJob

// * Warnings *
Environment
  Summary -> Detected error exit code from one of the benchmarks. It might be caused by following antivirus software:
        - Windows Defender (windowsdefender://)
Use InProcessToolchain to avoid new process creation.


// * Hints *
Outliers
  ChipotleCsvBenchmark.Parse8KB: Default -> 2 outliers were detected

// * Legends *
  Mean      : Arithmetic mean of all measurements
  Error     : Half of 99.9% confidence interval
  StdDev    : Standard deviation of all measurements
  Min       : Minimum
  Max       : Maximum
  Median    : Value separating the higher half of all measurements (50th percentile)
  Gen 0     : GC Generation 0 collects per 1k Operations
  Allocated : Allocated memory per single operation (managed only, inclusive, 1KB = 1024B)
  1 us      : 1 Microsecond (0.000001 sec)

// * Diagnostic Output - MemoryDiagnoser *


// ***** BenchmarkRunner: End *****
Run time: 00:01:54 (114.15 sec), executed benchmarks: 5

// Found benchmarks:
//   CsvHelperBenchmark.Parse2KB: DefaultJob
//   CsvHelperBenchmark.Parse4KB: DefaultJob
//   CsvHelperBenchmark.Parse8KB: DefaultJob
//   CsvHelperBenchmark.Parse16KB: DefaultJob
//   CsvHelperBenchmark.Parse32KB: DefaultJob

// **************************
// Benchmark: CsvHelperBenchmark.Parse2KB: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// BeforeAnythingElse
// Benchmark Process Environment Information:
// Runtime=.NET Core 2.0.9 (CoreCLR 4.6.26614.01, CoreFX 4.6.26614.01), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob
OverheadJitting  1: 1 op, 1180000.00 ns, 1.1800 ms/op
System.Reflection.TargetInvocationException: Exception has been thrown by the target of an invocation. ---> System.ArgumentNullException: Value cannot be null.
Parameter name: stream
   at System.IO.StreamReader..ctor(Stream stream, Encoding encoding, Boolean detectEncodingFromByteOrderMarks, Int32 bufferSize, Boolean leaveOpen)
   at test.CsvHelperBenchmark.GetStreamReader(String name) in C:\Users\ryzng\Source\Repos\Chipotle.CSV\Benchmarks\CsvHelperBenchmark.cs:line 15
   at test.CsvHelperBenchmark.ParseCsvFile(String name) in C:\Users\ryzng\Source\Repos\Chipotle.CSV\Benchmarks\CsvHelperBenchmark.cs:line 62
   at BenchmarkDotNet.Autogenerated.Runnable_5.WorkloadActionNoUnroll(Int64 invokeCount) in C:\Users\ryzng\Source\Repos\Chipotle.CSV\Benchmarks\bin\release\netcoreapp2.0\fc0c46d6-060f-4fa5-901a-88ede7da3113\fc0c46d6-060f-4fa5-901a-88ede7da3113.notcs:line 3692
   at BenchmarkDotNet.Engines.Engine.RunIteration(IterationData data)
   at BenchmarkDotNet.Engines.EngineFactory.Jit(Engine engine, Int32 jitIndex, Int32 invokeCount, Int32 unrollFactor)
   at BenchmarkDotNet.Engines.EngineFactory.CreateReadyToRun(EngineParameters engineParameters)
   at BenchmarkDotNet.Autogenerated.Runnable_5.Run(IHost host) in C:\Users\ryzng\Source\Repos\Chipotle.CSV\Benchmarks\bin\release\netcoreapp2.0\fc0c46d6-060f-4fa5-901a-88ede7da3113\fc0c46d6-060f-4fa5-901a-88ede7da3113.notcs:line 3369
   --- End of inner exception stack trace ---
   at System.RuntimeMethodHandle.InvokeMethod(Object target, Object[] arguments, Signature sig, Boolean constructor)
   at System.Reflection.RuntimeMethodInfo.UnsafeInvokeInternal(Object obj, Object[] parameters, Object[] arguments)
   at BenchmarkDotNet.Autogenerated.UniqueProgramName.AfterAssemblyLoadingAttached(String[] args) in C:\Users\ryzng\Source\Repos\Chipotle.CSV\Benchmarks\bin\release\netcoreapp2.0\fc0c46d6-060f-4fa5-901a-88ede7da3113\fc0c46d6-060f-4fa5-901a-88ede7da3113.notcs:line 70
// AfterAll
ExitCode != 0
No more Benchmark runs will be launched as NO measurements were obtained from the previous run!


// **************************
// Benchmark: CsvHelperBenchmark.Parse4KB: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// BeforeAnythingElse
// Benchmark Process Environment Information:
// Runtime=.NET Core 2.0.9 (CoreCLR 4.6.26614.01, CoreFX 4.6.26614.01), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob
OverheadJitting  1: 1 op, 866200.00 ns, 866.2000 us/op
System.Reflection.TargetInvocationException: Exception has been thrown by the target of an invocation. ---> System.ArgumentNullException: Value cannot be null.
Parameter name: stream
   at System.IO.StreamReader..ctor(Stream stream, Encoding encoding, Boolean detectEncodingFromByteOrderMarks, Int32 bufferSize, Boolean leaveOpen)
   at test.CsvHelperBenchmark.GetStreamReader(String name) in C:\Users\ryzng\Source\Repos\Chipotle.CSV\Benchmarks\CsvHelperBenchmark.cs:line 15
   at test.CsvHelperBenchmark.ParseCsvFile(String name) in C:\Users\ryzng\Source\Repos\Chipotle.CSV\Benchmarks\CsvHelperBenchmark.cs:line 62
   at BenchmarkDotNet.Autogenerated.Runnable_6.WorkloadActionNoUnroll(Int64 invokeCount) in C:\Users\ryzng\Source\Repos\Chipotle.CSV\Benchmarks\bin\release\netcoreapp2.0\fc0c46d6-060f-4fa5-901a-88ede7da3113\fc0c46d6-060f-4fa5-901a-88ede7da3113.notcs:line 4335
   at BenchmarkDotNet.Engines.Engine.RunIteration(IterationData data)
   at BenchmarkDotNet.Engines.EngineFactory.Jit(Engine engine, Int32 jitIndex, Int32 invokeCount, Int32 unrollFactor)
   at BenchmarkDotNet.Engines.EngineFactory.CreateReadyToRun(EngineParameters engineParameters)
   at BenchmarkDotNet.Autogenerated.Runnable_6.Run(IHost host) in C:\Users\ryzng\Source\Repos\Chipotle.CSV\Benchmarks\bin\release\netcoreapp2.0\fc0c46d6-060f-4fa5-901a-88ede7da3113\fc0c46d6-060f-4fa5-901a-88ede7da3113.notcs:line 4012
   --- End of inner exception stack trace ---
   at System.RuntimeMethodHandle.InvokeMethod(Object target, Object[] arguments, Signature sig, Boolean constructor)
   at System.Reflection.RuntimeMethodInfo.UnsafeInvokeInternal(Object obj, Object[] parameters, Object[] arguments)
   at BenchmarkDotNet.Autogenerated.UniqueProgramName.AfterAssemblyLoadingAttached(String[] args) in C:\Users\ryzng\Source\Repos\Chipotle.CSV\Benchmarks\bin\release\netcoreapp2.0\fc0c46d6-060f-4fa5-901a-88ede7da3113\fc0c46d6-060f-4fa5-901a-88ede7da3113.notcs:line 70
// AfterAll
ExitCode != 0
No more Benchmark runs will be launched as NO measurements were obtained from the previous run!


// **************************
// Benchmark: CsvHelperBenchmark.Parse8KB: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// BeforeAnythingElse
// Benchmark Process Environment Information:
// Runtime=.NET Core 2.0.9 (CoreCLR 4.6.26614.01, CoreFX 4.6.26614.01), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob
OverheadJitting  1: 1 op, 863300.00 ns, 863.3000 us/op
System.Reflection.TargetInvocationException: Exception has been thrown by the target of an invocation. ---> System.ArgumentNullException: Value cannot be null.
Parameter name: stream
   at System.IO.StreamReader..ctor(Stream stream, Encoding encoding, Boolean detectEncodingFromByteOrderMarks, Int32 bufferSize, Boolean leaveOpen)
   at test.CsvHelperBenchmark.GetStreamReader(String name) in C:\Users\ryzng\Source\Repos\Chipotle.CSV\Benchmarks\CsvHelperBenchmark.cs:line 15
   at test.CsvHelperBenchmark.ParseCsvFile(String name) in C:\Users\ryzng\Source\Repos\Chipotle.CSV\Benchmarks\CsvHelperBenchmark.cs:line 62
   at BenchmarkDotNet.Autogenerated.Runnable_7.WorkloadActionNoUnroll(Int64 invokeCount) in C:\Users\ryzng\Source\Repos\Chipotle.CSV\Benchmarks\bin\release\netcoreapp2.0\fc0c46d6-060f-4fa5-901a-88ede7da3113\fc0c46d6-060f-4fa5-901a-88ede7da3113.notcs:line 4978
   at BenchmarkDotNet.Engines.Engine.RunIteration(IterationData data)
   at BenchmarkDotNet.Engines.EngineFactory.Jit(Engine engine, Int32 jitIndex, Int32 invokeCount, Int32 unrollFactor)
   at BenchmarkDotNet.Engines.EngineFactory.CreateReadyToRun(EngineParameters engineParameters)
   at BenchmarkDotNet.Autogenerated.Runnable_7.Run(IHost host) in C:\Users\ryzng\Source\Repos\Chipotle.CSV\Benchmarks\bin\release\netcoreapp2.0\fc0c46d6-060f-4fa5-901a-88ede7da3113\fc0c46d6-060f-4fa5-901a-88ede7da3113.notcs:line 4655
   --- End of inner exception stack trace ---
   at System.RuntimeMethodHandle.InvokeMethod(Object target, Object[] arguments, Signature sig, Boolean constructor)
   at System.Reflection.RuntimeMethodInfo.UnsafeInvokeInternal(Object obj, Object[] parameters, Object[] arguments)
   at BenchmarkDotNet.Autogenerated.UniqueProgramName.AfterAssemblyLoadingAttached(String[] args) in C:\Users\ryzng\Source\Repos\Chipotle.CSV\Benchmarks\bin\release\netcoreapp2.0\fc0c46d6-060f-4fa5-901a-88ede7da3113\fc0c46d6-060f-4fa5-901a-88ede7da3113.notcs:line 70
// AfterAll
ExitCode != 0
No more Benchmark runs will be launched as NO measurements were obtained from the previous run!


// **************************
// Benchmark: CsvHelperBenchmark.Parse16KB: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// BeforeAnythingElse
// Benchmark Process Environment Information:
// Runtime=.NET Core 2.0.9 (CoreCLR 4.6.26614.01, CoreFX 4.6.26614.01), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob
OverheadJitting  1: 1 op, 868200.00 ns, 868.2000 us/op
System.Reflection.TargetInvocationException: Exception has been thrown by the target of an invocation. ---> System.ArgumentNullException: Value cannot be null.
Parameter name: stream
   at System.IO.StreamReader..ctor(Stream stream, Encoding encoding, Boolean detectEncodingFromByteOrderMarks, Int32 bufferSize, Boolean leaveOpen)
   at test.CsvHelperBenchmark.GetStreamReader(String name) in C:\Users\ryzng\Source\Repos\Chipotle.CSV\Benchmarks\CsvHelperBenchmark.cs:line 15
   at test.CsvHelperBenchmark.ParseCsvFile(String name) in C:\Users\ryzng\Source\Repos\Chipotle.CSV\Benchmarks\CsvHelperBenchmark.cs:line 62
   at BenchmarkDotNet.Autogenerated.Runnable_8.WorkloadActionNoUnroll(Int64 invokeCount) in C:\Users\ryzng\Source\Repos\Chipotle.CSV\Benchmarks\bin\release\netcoreapp2.0\fc0c46d6-060f-4fa5-901a-88ede7da3113\fc0c46d6-060f-4fa5-901a-88ede7da3113.notcs:line 5621
   at BenchmarkDotNet.Engines.Engine.RunIteration(IterationData data)
   at BenchmarkDotNet.Engines.EngineFactory.Jit(Engine engine, Int32 jitIndex, Int32 invokeCount, Int32 unrollFactor)
   at BenchmarkDotNet.Engines.EngineFactory.CreateReadyToRun(EngineParameters engineParameters)
   at BenchmarkDotNet.Autogenerated.Runnable_8.Run(IHost host) in C:\Users\ryzng\Source\Repos\Chipotle.CSV\Benchmarks\bin\release\netcoreapp2.0\fc0c46d6-060f-4fa5-901a-88ede7da3113\fc0c46d6-060f-4fa5-901a-88ede7da3113.notcs:line 5298
   --- End of inner exception stack trace ---
   at System.RuntimeMethodHandle.InvokeMethod(Object target, Object[] arguments, Signature sig, Boolean constructor)
   at System.Reflection.RuntimeMethodInfo.UnsafeInvokeInternal(Object obj, Object[] parameters, Object[] arguments)
   at BenchmarkDotNet.Autogenerated.UniqueProgramName.AfterAssemblyLoadingAttached(String[] args) in C:\Users\ryzng\Source\Repos\Chipotle.CSV\Benchmarks\bin\release\netcoreapp2.0\fc0c46d6-060f-4fa5-901a-88ede7da3113\fc0c46d6-060f-
